# Video: P02-20240211-100250
# Narrations: 93
# Format: narration_id | timestamp | narration
#===========================================================

P02-20240211-100250-1 | 2.78s | open the left side curtain with the left hand
P02-20240211-100250-46 | 205.00s | place the laminate back down near the garage door using the left hand
P02-20240211-100250-47 | 206.08s | adjust and straighten the mat near the garage door
P02-20240211-100250-48 | 208.14s | Clean a small portion of the laminate using the vacuum cleaner that was missed.
P02-20240211-100250-49 | 210.41s | Turn off the vacuum cleaner using the left hand.
P02-20240211-100250-51 | 211.72s | Push the vacuum cleaner upright to put it into upright mode so that the hose can be used.
P02-20240211-100250-52 | 213.69s | lift up the protector for the end of the hose using the right hand
P02-20240211-100250-50 | 214.30s | Switch on the brushbar for the next use using the left hand.
P02-20240211-100250-53 | 214.48s | Pull up the wand from the vacuum cleaner using the right hand whilst holding the handle using the left hand to steady the vacuum cleaner.
P02-20240211-100250-54 | 215.52s | pick up and remove the handle of the vacuum cleaner now that the wand has been fully extended using the right hand
P02-20240211-100250-55 | 217.49s | Click in and pull out the attachment to the end of the wand that will be used to clean round the corners in the kitchen.
P02-20240211-100250-56 | 218.77s | rotate and slot in the attachment to the wand using the left hand whilst holding the wand in the right hand
P02-20240211-100250-57 | 221.00s | Pull down the brush at the end of the wand attachment, as it won't be used during the cleaning.
P02-20240211-100250-58 | 221.80s | Put the end of the wand attachment onto the ground whilst holding the handle in the right hand, ready for cleaning.
P02-20240211-100250-59 | 223.39s | turn on the vacuum cleaner using the left hand
P02-20240211-100250-60 | 224.59s | Clean the edges and skirting board of the kitchen using the vacuum cleaner, holding the wand in both hands to steady it.
P02-20240211-100250-61 | 278.85s | open the door to the kitchen cupboard using the right hand
P02-20240211-100250-62 | 280.30s | clean the laminate flooring of the kitchen cupboard using the vacuum cleaner holding the wand in both hands getting into all the nooks and crannies around the drawers and other items within the cupboard
P02-20240211-100250-63 | 292.26s | close the door to the kitchen cupboard using the right hand
P02-20240211-100250-64 | 295.27s | Fully close the door of the kitchen cupboard using the left hand to push in the handle.
P02-20240211-100250-65 | 296.07s | lift out the main bin so that the skirting board can be cleaned behind it
P02-20240211-100250-66 | 298.48s | move the vacuum cleaner out of the way so that the wand can reach the skirting board.
P02-20240211-100250-67 | 300.28s | Clean the edges and skirting board of the kitchen using the vacuum cleaner, holding the wand in both hands to steady it.
P02-20240211-100250-68 | 301.39s | Move the recycling bin out of the way so that the skirting board behind it can be cleaned.
P02-20240211-100250-69 | 303.71s | place the recycling bin back down onto the floor
P02-20240211-100250-70 | 304.68s | move the main bin back into its corner as the area has been cleaned
P02-20240211-100250-71 | 307.01s | Pick up the food bin with the left hand so that the area behind it can be cleaned.
P02-20240211-100250-72 | 307.91s | Clean the edges and skirting board of the kitchen using the vacuum cleaner, holding the wand in both hands to steady it.
P02-20240211-100250-73 | 309.22s | Place down the food bin so that both hands can be used to grab hold of the vacuum cleaner.
P02-20240211-100250-74 | 319.20s | Turn off the vacuum cleaner using the right hand.
P02-20240211-100250-75 | 321.09s | Attach the handle back to the top of the vacuum cleaner using the right hand, holding it steady with the left hand.
P02-20240211-100250-76 | 321.61s | Push down the wand inside the tube of the vacuum cleaner using the right hand.
P02-20240211-100250-77 | 323.64s | holding the base of the wand attachment, pull up the brush so that when the brush gets attached next to the vacuum cleaner, the bristles don't bend.
P02-20240211-100250-78 | 324.41s | push in until there is a click to remove the wand attachment using the left hand
P02-20240211-100250-79 | 324.63s | Push down the rest of the hose using the left hand whilst holding the wand attachment in the right hand.
P02-20240211-100250-80 | 324.98s | Close the top lid of the vacuum cleaner using the left hand.
P02-20240211-100250-81 | 325.62s | Put the wand attachment back down into the base of the vacuum cleaner using the right hand, holding the vacuum cleaner with the left hand.
P02-20240211-100250-82 | 329.23s | lift up the food bin with the left hand.
P02-20240211-100250-83 | 330.04s | place the food bin back into the corner so that it is out of the way using the left hand
P02-20240211-100250-84 | 332.82s | Move the cord of the vacuum cleaner out of the way.
P02-20240211-100250-85 | 333.66s | Lift the vacuum cleaner and move it from the centre of the kitchen area.
P02-20240211-100250-86 | 335.77s | open the kitchen cupboard door using the right hand
P02-20240211-100250-87 | 337.46s | unhook the bag which contains other carrier bags from the back of the kitchen cupboard door
P02-20240211-100250-88 | 338.67s | grab one of the bags within the kitchen cupboard using the left hand holding the bag in the right hand
P02-20240211-100250-89 | 338.99s | grab another carrier bag from inside the bag using the left hand
P02-20240211-100250-90 | 340.34s | Hook the bag full of carrier bags back onto its hook using the right hand.
P02-20240211-100250-91 | 341.23s | Close the kitchen cupboard door using the right hand.
P02-20240211-100250-92 | 342.83s | Compress both carrier bags using both hands.
P02-20240211-100250-93 | 345.76s | place the carrier bags in the back pocket using the left hand
