class_id,noun_name,category,instance_count,reasoning
133,nut,fruits and nuts,6,A nut is a type of edible fruit and is consumed as food.
134,vinegar,spices and herbs and sauces,8,Vinegar is a food ingredient used in cooking and is edible.
137,pie,baked goods and grains,2,"A pie is a baked food item made from dough and filled with ingredients, making it edible food."
138,powder,spices and herbs and sauces,10,"Powder, in the context of spices, herbs, and sauces, is a food ingredient and is edible."
139,burger,meat and substitute,7,A burger is a food item made primarily of meat or meat substitutes and is edible.
143,cream,dairy and eggs,8,Cream is a dairy product and is edible food.
144,pork,meat and substitute,6,Pork is a type of meat and is edible food.
145,oregano,spices and herbs and sauces,1,Oregano is a herb used as a food ingredient and is edible.
146,banana,fruits and nuts,2,A banana is a fruit and is edible food.
148,paste,spices and herbs and sauces,14,"Paste is a food product, often made from ingredients like spices, herbs, or sauces, and is edible."
150,liquid,other,6,"Liquid can refer to food items such as milk, juice, or broth, which are edible and contain food."
151,choi:pak,vegetables,5,Choi:pak is a type of leafy green vegetable and is edible food.
155,noodle,baked goods and grains,3,"Noodles are a type of pasta made from flour and water, and are edible food."
156,salami,meat and substitute,8,Salami is a cured meat product and is edible food.
160,tuna,meat and substitute,3,"Tuna is a type of fish and is edible food, classified under meat and substitute."
161,lime,fruits and nuts,3,A lime is a citrus fruit and is edible food.
162,omelette,dairy and eggs,12,An omelette is a cooked dish made from eggs and is edible food.
163,bacon,meat and substitute,1,Bacon is a type of meat and is edible food.
164,sandwich,prepared food,3,"A sandwich is a prepared food item made of ingredients like bread and fillings, and is edible."
167,orange,fruits and nuts,3,An orange is a fruit and is edible food.
169,parsley,spices and herbs and sauces,1,Parsley is an edible herb used as a food ingredient and seasoning.
173,coriander,spices and herbs and sauces,3,Coriander is a herb used as a food ingredient and is edible.
175,cake,baked goods and grains,10,Cake is a baked good and is edible food.
176,avocado,fruits and nuts,1,An avocado is a fruit and is edible food.
177,lentil,baked goods and grains,5,Lentils are edible legumes and are considered food ingredients.
178,blueberry,fruits and nuts,3,A blueberry is a fruit and is edible food.
180,cellar:salt,containers,8,"Salt is a food ingredient and is edible, even when stored in a container like a cellar."
181,hummus,spices and herbs and sauces,4,"Hummus is a edible food made from chickpeas, tahini, and other ingredients, commonly consumed as a dip or spread."
183,juice,drinks,5,Juice is a liquid food product made from fruits or vegetables and is consumed as a drink.
184,pancake,baked goods and grains,4,A pancake is a baked good and is edible food.
185,bean:green,vegetables,1,A green bean is a vegetable and is edible food.
187,apple,fruits and nuts,2,An apple is a fruit and is edible food.
188,chocolate,prepared food,6,"Chocolate is a consumable food product made from cocoa and other ingredients, classified as prepared food."
189,ice,other,3,"Ice is frozen water and is edible, though it is not a food in the nutritional sense, it is consumed as a food item in contexts like drinks or desserts."
192,wine,drinks,3,"Wine is an alcoholic beverage made from fermented grapes and is consumed as a drink, thus classified as food."
193,pea,vegetables,1,A pea is a vegetable and is edible food.
195,yeast,baked goods and grains,1,Yeast is a food ingredient used in baking and is edible.
196,coconut,fruits and nuts,2,"A coconut is a fruit and is edible food, containing consumable flesh and water."
197,fishcakes,prepared food,4,"Fishcakes are a cooked food item made from fish and other ingredients, and are edible."
198,spinach,vegetables,2,Spinach is a leafy green vegetable and is edible food.
200,raisin,fruits and nuts,2,A raisin is a dried fruit and is edible food.
201,basil,spices and herbs and sauces,3,Basil is an edible herb used as a food ingredient and is considered food.
202,grape,fruits and nuts,1,A grape is a fruit and is edible food.
203,kale,vegetables,2,Kale is a leafy green vegetable and is edible food.
205,asparagus,vegetables,1,Asparagus is a vegetable and is edible food.
206,paprika,spices and herbs and sauces,2,"Paprika is a spice made from ground dried peppers and is used as a food ingredient, making it edible food."
207,mango,fruits and nuts,1,A mango is a fruit and is edible food.
208,caper,spices and herbs and sauces,1,"A caper is an edible flower bud used as a food ingredient, commonly classified as a spice or herb."
209,drink,drinks,4,A drink is a liquid consumed for hydration or nourishment and is considered edible food.
210,stalk,vegetables,8,A stalk is a part of a vegetable that is edible and consumed as food.
211,turmeric,spices and herbs and sauces,2,Turmeric is a spice and edible food ingredient used in cooking.
213,kiwi,fruits and nuts,1,A kiwi is a fruit and is edible food.
214,bean,vegetables,3,A bean is a vegetable and is edible food.
215,thyme,spices and herbs and sauces,2,Thyme is an edible herb used as a spice in cooking and is considered a food ingredient.
217,beef,meat and substitute,4,Beef is a type of meat and is edible food.
219,blackberry,fruits and nuts,1,A blackberry is a fruit and is edible food.
223,celery,vegetables,1,Celery is a vegetable and is edible food.
224,cabbage,vegetables,5,Cabbage is a vegetable and is edible food.
226,breadstick,baked goods and grains,2,A breadstick is a baked good made from dough and is edible food.
227,roll,baked goods and grains,9,A roll is a type of baked good made from dough and is edible food.
228,cocktail,drinks,4,"A cocktail is an alcoholic beverage made from mixed ingredients, which are consumed as a drink and thus considered food."
229,crisp,prepared food,5,"""Crisp"" refers to a type of food, such as a crisp apple or a savory snack like a potato crisp, and is considered edible prepared food."
231,beer,drinks,2,"Beer is an alcoholic beverage made from fermented grains and is consumable as a drink, thus classified as food."
236,cumin,spices and herbs and sauces,2,"Cumin is a spice and is edible, used as a food ingredient."
239,pear,fruits and nuts,4,A pear is a fruit and is edible food.
240,quorn,meat and substitute,1,Quorn is a meat substitute made from edible fungal protein and is consumed as food.
243,strawberry,fruits and nuts,2,A strawberry is a fruit and is edible food.
244,almond,fruits and nuts,2,An almond is a nut and is edible food.
246,scotch:egg,prepared food,3,"A scotch egg is a prepared food item consisting of a hard-boiled egg wrapped in sausage meat and deep-fried, making it edible food."
253,shrimp,meat and substitute,4,Shrimp is a type of seafood and is edible food.
254,fruit,fruits and nuts,1,"Fruit is a category of edible food, such as apples, bananas, and berries."
255,artichoke,vegetables,1,An artichoke is a vegetable and is edible food.
257,cherry,fruits and nuts,2,A cherry is a fruit and is edible food.
258,sprout,vegetables,5,"Sprouts are edible plant shoots and are classified as vegetables, making them food."
260,stick:crab,meat and substitute,1,"""Stick:crab"" refers to crab meat, which is edible and classified as meat and substitute, making it food."
261,ring:onion,prepared food,2,"A ""ring:onion"" refers to a sliced onion ring, which is a prepared food item and edible."
266,mint,spices and herbs and sauces,1,Mint is a herb that is edible and used as a food ingredient.
270,gherkin,vegetables,1,A gherkin is a small pickled cucumber and is edible food.
271,breadcrumb,baked goods and grains,4,Breadcrumbs are made from dried bread and are edible food ingredients.
273,melon,fruits and nuts,1,A melon is a fruit and is edible food.
274,cinnamon,spices and herbs and sauces,1,"Cinnamon is a spice and is edible, used as a food ingredient."
275,popcorn,prepared food,1,Popcorn is a prepared food made from heated corn kernels and is edible.
276,dumpling,prepared food,1,"A dumpling is a prepared food item made from dough and filled with ingredients, making it edible and classified as food."
277,rosemary,spices and herbs and sauces,1,Rosemary is an herb used as a food ingredient and is edible.
279,syrup,spices and herbs and sauces,3,"Syrup is a sweetened liquid used as a food ingredient or topping, making it edible food."
281,pineapple,fruits and nuts,2,A pineapple is a fruit and is edible food.
283,soda,drinks,4,Soda is a carbonated beverage and is considered a drinkable food product.
284,raspberry,fruits and nuts,2,A raspberry is a fruit and is edible food.
287,turkey,meat and substitute,4,Turkey is a type of meat and is edible food.
293,plum,fruits and nuts,1,A plum is a fruit and is edible food.
299,extract:vanilla,prepared food,1,Vanilla extract is a food ingredient used in cooking and is considered edible food.
