P01-20240204-095114-1 | open the fridge
P01-20240204-095114-43 | put the cereal into the bowl by positioning the hand filled with cereal on top of the bowl and then opening the grip of the hand so the cereal in the hand falls into the bowl
P01-20240204-095114-44 | take another handful of cereal from inside the box by inserting the right hand inside the bag that is in the box and then shaking the box a little, picking up a handful of cereal from the box using the right hand. The box is being held with the left-hand.
P01-20240204-095114-45 | put the cereal in the bowl by positioning the hand filled with cereal on top of the bowl and then opening the grip of the hand so the cereal in the hand falls into the bowl
P01-20240204-095114-46 | close the inner bag inside the cereal by inserting the hand in the box and folding the bag inside. This action is off screen but you can hear it
P01-20240204-095114-47 | close the cereal box by folding both of its flaps at the top using the left hand
P01-20240204-095114-48 | put the cereal on the upper shelf on top of the sink using the right hand sliding it in
P01-20240204-095114-49 | open the top drawer
P01-20240204-095114-50 | pick up a spoon from the cutlery tray of the top drawer
P01-20240204-095114-51 | tap the surface of the milk and cereal inside the bowl using the spoon basically ensuring that the cereal is inside the milk so it softens, repeating multiple times
P01-20240204-095114-52 | leave the spoon on the bowl, the spoon will be used to eat the cereal
P01-20240204-095114-53 | open the box of wooden stirrers using the left hand by unfolding its cover
P01-20240204-095114-54 | pick up a wooden stirrer from inside the box using the left hand
P01-20240204-095114-55 | close the box of wooden stirrers by releasing its top
P01-20240204-095114-56 | move the mug on the countertop getting it closer to the edge and away from the coffee machine by holding the handle with the left hand and sliding slightly on the surface
P01-20240204-095114-57 | pick up the milk frother from its base on the countertop using the right hand in doing so the button on it actually gets switched off so by lifting it actually the milk frother is switched off
P01-20240204-095114-58 | hit the milk frother twice on the surface of the countertop using the right hand to steady the frothed milk inside it
P01-20240204-095114-59 | pour the frothed milk from the milk frother into the mug holding the mug with the left hand while it's resting on the countertop and holding the milk frother with the right hand tilting it positioning it on top of the mug using the right hand
P01-20240204-095114-60 | carefully allow the remaining frothed milk to be poured on the mug which is nearly filled by only very slowly tilting the milk frother
P01-20240204-095114-61 | put the wooden stirrer inside the mug which contains coffee and frothed milk
P01-20240204-095114-62 | position the milk frother under the nozzle of the tap in the sink
P01-20240204-095114-63 | open the tap
P01-20240204-095114-64 | rinse the milk frother also using the right hand index to scrape its inner surface
P01-20240204-095114-65 | close the tap
P01-20240204-095114-66 | turn the milk frother upside down to empty the water inside it
P01-20240204-095114-67 | open the tap again
P01-20240204-095114-68 | rinse the milk frother
P01-20240204-095114-69 | close the tap
P01-20240204-095114-70 | turn the milk frother upside down to empty the water inside it this action is mostly off screen
P01-20240204-095114-71 | put the milk frother back on its base on the countertop using the right hand
P01-20240204-095114-72 | dry the hands using the towel on the handrail of the oven by holding it from its edge this action is mostly off-screen
P01-20240204-095114-73 | hold the mug with the left hand on the countertop
P01-20240204-095114-74 | hold the wooden stirrer which was resting inside the coffee mug
P01-20240204-095114-75 | pick up the coffee mug from the countertop
P01-20240204-095114-76 | stir the coffee inside the mug mixing the coffee with the frothed milk by rotating the wooden stirrer inside the mug in circular motions clockwise quickly and repeatedly until the coffee is fully mixed with the frothed milk
P01-20240204-095114-77 | shake the wooden stirrer on top of the mug to drop any liquid that stuck to it
P01-20240204-095114-78 | open the lid of the trash bin
P01-20240204-095114-79 | throw the wooden stirrer in the trash bin
P01-20240204-095114-80 | close the trash bin
P01-20240204-095114-81 | put the mug on the counter top
